基金代码,基金代码,总市值,一致预期PE,每股一致预期增速,静态pe,毛利率,净利率,roe,roic,经营现金流净额/净利润,资产负债率,静态pb,总市值排名,一致预期PE排名,每股一致预期增速排名,静态pe排名,毛利率排名,净利率排名,roe排名,roic排名,经营现金流净额/净利润排名,资产负债率排名,静态pb排名,股票个数,前十大股票占比,前三大行业占比,股票个数排名,前十大股票占比排名,前三大行业占比排名,换手率,换手率排名,交易效率,交易效率排名
000327.OF,000327.OF,316.5044508,20.79707087,13.60513411,19.07465675,26.77802217,12.08624161,9.99445806,8.37872957,59.40361312,40.00600527,2.8305801,0.037407569,0.186167899,0.15615485,0.257503262,0.394954328,0.313179643,0.267942584,0.30969987,0.506742062,0.454980426,0.228360157,75,37.74,28.46,0.869508482,0.331013484,0.145715528,3.782852959,0.701174424,1.9926214848151595,0.6837755545889517
000328.OF,000328.OF,1727.996566,44.4592712,44.26702118,33.3543256,31.86687788,15.05708747,12.97356145,11.27288852,67.63349649,42.61928403,6.50666463,0.450630709,0.890387125,0.769030013,0.678120922,0.602870813,0.551109178,0.505437147,0.608090474,0.692040017,0.578077425,0.859504132,54,33.71,39.65,0.71922575,0.255110918,0.414528056,4.466573305,0.7707699,-2.089483897992356,0.3270987385819922
000336.OF,000336.OF,401.2628168,41.10951527,33.54184127,32.10088804,30.73388502,10.38827631,9.748795,9.2952808,71.06585372,39.70559639,4.54630255,0.055241409,0.847759896,0.602870813,0.646802958,0.547194432,0.191822532,0.246193997,0.392344498,0.775119617,0.441496303,0.557198782,32,59.75,53.93,0.297085689,0.836668117,0.715528491,2.623976458,0.535450196,-3.0859175604692113,0.27229230100043494
000339.OF,000339.OF,1715.703543,51.25444472,99.83186694,60.90057939,48.56875062,20.06909468,17.15840738,16.87973719,55.89055491,32.52486113,8.97976939,0.449325794,0.946498478,0.980861244,0.974336668,0.960417573,0.88908221,0.854719443,0.950848195,0.436276642,0.184428012,0.969986951,40,45.55,79.25,0.494780339,0.526750761,0.935189213,8.67724841,0.946063506,-3.350002674407704,0.254458460200087
000354.OF,000354.OF,295.551963,35.98155441,55.84739819,35.13771522,29.83400631,10.766657,6.71517384,8.24306986,58.25125872,39.26943874,4.94907117,0.032187908,0.723357982,0.870378425,0.72031318,0.516746411,0.21661592,0.112222706,0.296215746,0.482818617,0.419312745,0.629404089,28,61.53,58.49,0.196389735,0.860374076,0.779034363,5.830310194,0.865593736,-2.627002039404698,0.2949108307959983
000362.OF,000362.OF,566.3861925,32.10151172,122.3217749,37.83416582,42.4973907,12.37336017,9.97664528,10.69778431,72.34282717,39.0085681,4.49855244,0.115267508,0.588951718,0.993040452,0.779904306,0.899086559,0.333188343,0.265767725,0.548064376,0.800347977,0.406698565,0.545889517,39,48.23,61.43,0.471944324,0.597216181,0.818834276,3.520761419,0.67246629,-5.903024484375037,0.16398434101783385
000390.OF,000390.OF,511.4774385,40.73168799,41.18132448,55.82269483,27.04831378,9.85712178,7.35840552,6.96670855,45.97065369,41.82732593,4.97899611,0.091344063,0.837320574,0.734667247,0.955632884,0.407568508,0.166594171,0.130056546,0.199217051,0.272292301,0.53892997,0.636363636,50,45.47,52.51,0.6661592,0.52522836,0.696824706,2.141669167,0.425402349,11.219276459798799,0.937799043062201
000398.OF,000398.OF,5051.312216,19.4580021,51.08494817,20.87319138,24.55324125,24.74737272,15.35661193,7.30530936,38.51534846,59.10338439,3.23228894,0.884732492,0.138755981,0.837755546,0.302740322,0.306655067,0.985210961,0.734667247,0.219660722,0.194867334,0.968247064,0.292735972,27,69.75,56.19,0.17137886,0.95215311,0.745106568,1.861374592,0.354066986,10.417703697762734,0.9308394954327969
000404.OF,000404.OF,475.4189178,43.11637347,24.18857992,10.35485886,27.50605433,9.97185474,8.80028716,8.8659491,45.94690335,37.40808264,6.45193597,0.078729883,0.871248369,0.377990431,0.10569813,0.419312745,0.17137886,0.188342758,0.348412353,0.271857329,0.335798173,0.852979556,45,48.79,46.74,0.588299261,0.614180078,0.598956068,2.530301006,0.51892127,7.258120739963852,0.8790778599391039
000408.OF,000408.OF,875.4572604,35.2317657,35.9858439,35.38198378,43.57677157,17.14978622,17.32752383,16.00744776,74.71839192,37.63818095,6.25767432,0.228360157,0.700739452,0.645498043,0.725097869,0.910830796,0.708568943,0.867333623,0.923010004,0.842540235,0.348412353,0.833405829,30,58.6,59.22,0.249021314,0.816441931,0.788168769,1.881666581,0.36015659,-5.099189551902872,0.19356241844280123
000409.OF,000409.OF,1093.328863,34.47569141,22.18436436,16.98832011,26.66322336,16.75014135,12.51934153,8.63936058,68.95560898,50.21297561,4.43105309,0.295345803,0.678990866,0.328838625,0.214441061,0.389734667,0.67507612,0.455415398,0.327968682,0.725097869,0.850369726,0.530230535,55,38.54,62.17,0.734884732,0.35015224,0.82862114,3.64776392,0.686820357,-0.10204257132956178,0.4993475424097434
000410.OF,000410.OF,2909.771857,22.35292152,25.1112995,23.2227361,25.9520931,14.58669516,15.14403448,10.34456264,56.01501022,49.81420907,3.40373202,0.665941714,0.23923445,0.404523706,0.37016094,0.354066986,0.511091779,0.714658547,0.511526751,0.438886472,0.842540235,0.324053936,48,37.54,32.78,0.637451066,0.325576338,0.227272727,5.048595015,0.817746846,1.1544301617942312,0.6128751631143976
000411.OF,000411.OF,3106.084392,18.02206808,46.34833244,21.35597863,23.30372452,18.45193626,17.01391103,10.43614831,62.11865923,56.96345655,4.0492168,0.696389735,0.100913441,0.794693345,0.317964332,0.26185298,0.805567638,0.845585037,0.521096129,0.565463245,0.949978251,0.453240539,98,31.94,36.61,0.916485428,0.220095694,0.321009134,2.072192526,0.407133536,3.547972154012103,0.768595041322314
000417.OF,000417.OF,2476.235808,36.54898267,45.00725452,50.73291831,34.11757679,15.65883728,12.84837857,9.36112223,68.35374557,51.38732413,5.41529469,0.596346237,0.741626794,0.778599391,0.924749891,0.695954763,0.595911266,0.492387995,0.399739017,0.707699,0.870378425,0.709438886,30,65.21,43.46,0.249021314,0.906046107,0.523053502,4.489244401,0.772509787,1.1153070990932668,0.6098303610265333
