基金代码,总市值,一致预期PE,每股一致预期增速,静态pe,毛利率,净利率,roe,roic,经营现金流净额/净利润,资产负债率,静态pb,总市值排名,一致预期PE排名,每股一致预期增速排名,静态pe排名,毛利率排名,净利率排名,roe排名,roic排名,经营现金流净额/净利润排名,资产负债率排名,静态pb排名,股票个数,前十大股票占比,前三大行业占比,股票个数排名,前十大股票占比排名,前三大行业占比排名,换手率,换手率排名
003900.OF,1250.668109,21.10813935,7.10909947,5.88014055,5.65050569,3.25134872,2.65074728,2.03136655,12.0993181,10.51555715,0.80481005,0.274874732,0.070866142,0.025769506,0.042949177,0.01932713,0.032211883,0.027559055,0.024337867,0.014316392,0.022190408,0.01932713,76,7.03,6.26,0.805297065,0.014316392,0.006442377,0.305102621,0.01896922
003940.OF,5105.369455,43.04924181,61.94672717,48.45618783,50.183613,25.50272357,26.49315115,23.20627218,81.79618642,35.88578581,13.23986256,0.887258411,0.702576951,0.707229778,0.609520401,0.968861847,0.974230494,0.997852541,0.995705082,0.971009306,0.365783822,0.983536149,47,54.42,71.26,0.484430923,0.74158912,0.855046528,2.500603022,0.501789549
003950.OF,4824.062543,26.97840254,8.83233337,8.39648165,10.36407085,6.06322556,3.9969379,3.06821701,17.81215655,11.81667191,1.5115355,0.872584109,0.159269864,0.033643522,0.065855404,0.056907659,0.07337151,0.052612742,0.046528275,0.035075161,0.032927702,0.054044381,140,10.51,11.48,0.945418754,0.032211883,0.035075161,0.182519083,0.008231926
003955.OF,6823.168457,26.97945056,11.76642204,19.5208035,22.8157266,14.43878127,11.83703946,8.90405047,33.62655551,28.25394436,4.56682032,0.966356478,0.159985684,0.052612742,0.176807445,0.187544739,0.44416607,0.360415175,0.224051539,0.081961346,0.145669291,0.236220472,47,38.47,34.95,0.484430923,0.337508948,0.206871868,0.139529251,0.005010737
003956.OF,1429.263492,42.62702216,47.6240497,72.70874214,26.95808791,11.62669171,10.17345896,9.86349485,60.81427825,41.62780046,8.21275722,0.324982105,0.689334288,0.501789549,0.924838941,0.331782391,0.238010021,0.229420186,0.294201861,0.310307802,0.681818182,0.650680029,32,52.32,59.54,0.202576951,0.689692198,0.713672155,9.420176208,0.948103078
003961.OF,600.4235587,23.42695372,68.10121542,37.78733521,24.79797114,11.58433427,12.46869577,11.41684127,77.82155909,41.42515559,4.50150015,0.09198282,0.095204009,0.772011453,0.428418039,0.239799571,0.237294202,0.427344309,0.459198282,0.904795991,0.66714388,0.230493916,79,41.79,48.74,0.821939871,0.421796707,0.522906228,1.135260746,0.171438797
003980.OF,634.7050182,21.51159058,37.61308212,16.35444156,21.04164804,0.48619639,2.55509784,4.45086538,38.14120825,41.39320717,2.53225046,0.101646385,0.075518969,0.337151038,0.143521832,0.153901217,0.006442377,0.026127416,0.078382248,0.096635648,0.665354331,0.105225483,30,42.39,41.93,0.161238368,0.442376521,0.355941303,0.939671944,0.123836793
003984.OF,2130.305615,36.80321721,98.28182925,59.29547666,27.76909118,15.97123103,14.78983459,12.72431983,74.31802572,42.74184726,9.07822646,0.491768074,0.468861847,0.948818898,0.784896206,0.36972083,0.57444524,0.66607015,0.627773801,0.79634932,0.736578382,0.758052971,37,53.66,53.93,0.292770222,0.721188261,0.615604868,0.91471158,0.117394417
003993.OF,10576.43674,30.24110837,22.18900184,34.28651952,27.85527382,19.68670878,13.9656738,11.61246871,67.15600866,47.97764398,5.67832626,0.998210451,0.249821045,0.137437366,0.358625626,0.374731568,0.818897638,0.578740157,0.48210451,0.501789549,0.908732999,0.327487473,48,46.39,42.75,0.501610594,0.544022906,0.37992126,2.438148186,0.487831067
004008.OF,3727.80529,33.50937014,17.99646236,12.76811774,11.00715905,6.16532477,4.82156689,3.73754635,22.48007375,15.97455808,2.48189869,0.762705798,0.35254116,0.099498926,0.107015032,0.061202577,0.07480315,0.066213314,0.061202577,0.054402291,0.051181102,0.103435934,74,11.17,10.9,0.792770222,0.03758053,0.030780243,1.22406876,0.193629205
